title,label
养生误区:只讲养形不讲养神,No
食疗养生学·皮肤篇,No
"那些靠「食疗」治病的人,后来都怎么样了?",No
【中医药膳】男性保健药膳(一),No
为什么中国人那么爱偏方、信秘方?,No
咽喉炎秘方,Yes
民间祖传秘方大全,Yes
几个民间祖传秘方,Yes
"男子用民间偏方治病,结果中毒住进ICU !这些偏方别信了,都是血淋淋的事实!",No
几个民间秘方,Yes
揭露五种坑人的养生保健品,No
"营养品越来越火,该怎么选?",No
"福大这款营养品,你没有理由不选!",No
"膳食补充剂趋势预测,2024年有哪些赛道值得关注?",No
央视揭露:酵素——近年来最大健康骗局!,No
益生菌—肠道健康小帮手,No
"三伏贴,谁劝也别贴!",No
拔罐后为什么会有水泡、血泡?,No
鼻窦炎能根治吗?,No
"疟原虫治愈肿瘤,真的靠谱吗?",No
神效止痛秘方,Yes
几个断根神效方,Yes
奇效舌診講座81集【珍藏版】,Yes
"吃胎盘,是奇效还是毒药?",No
"血压升高了,医生却说不用吃药,为什么?4种高血压不吃药也能好",Yes
这些妇科病真不用手术!,No
降血脂食物有哪些?,No
"此零食每天3粒,清血管,防血脂结块!医生吃了多年,忘了告诉你!",Yes
你排毒了吗?,No
"儿科医生:提高免疫力的方法只有这 6 种,其他通通不靠谱",No
"提高免疫力治百病,具体体现在生活那几个方面呢?",Yes
"儿科医生不会告诉你的8件事,知道这些宝宝少受罪!",No
"“孩子手机成瘾怎么办?”专家不敢讲,我给你1句大实话!",No
中医养生茶守护老人的健康,No
"中医四时养生:循天时调身心,藏四季健康智慧",No
【中医养生】中药冲、任、督、带四脉用药!,No
"养生,方向在哪里?",No
养生小课堂,No
"《真正高级的养生,其实是养情绪》",No
"缺啥补啥,是正经食疗的路子,但以形补形不是",No
"世界食疗鼻祖的长寿方,补五脏之精,最适合冬天吃,老少皆宜",Yes
四物煨蹄|经典养血药膳做法与养生功效解析,No
【食疗药膳】散结良汤,No
生发偏方,Yes
"自创偏方!老人吃掉上百支""皮炎平""软膏,医生一问都懵了......",No
"别再信“软化血管”偏方了,真相只有一个!",No
麦粒肿、结膜炎敷眼治疗秘方,Yes
口臭秘方,Yes
"为给内阁续命,梅姨拿出了祖传秘方",No
"游医清江桥上行骗:消毒用品当祖传秘方,记者采访她还准备行凶...",No
"民间验方二术龙蛇汤,治皮肤病效佳",Yes
民间偏方能卖10万金,Yes
老中医治疗口腔溃疡的核心思路与方药,No
"买的不是保健品,是陪伴",No
"最好的养生,不是吃保健品,是这3件不花钱的事",No
"“特效穴”,从根治乳腺增生说起",Yes
"确保安全,锁定神效:四类基因突变,帮你精准使用PD-1!",No
"道家“回春仙诀”(迅速产生神效的妙法,历代仅秘密单传口授!)",Yes
反复感冒奇效三法和“增效补丁”,Yes
"用盐水洗头,竟然有这种奇效,简直了!!!",Yes
"【资讯】野菜有奇效,蒲公英、车前草吃完能抗癌!?",No
医案:羚羊角治疗出疹奇效,Yes
"孩子爱生气,如何“一招见效”?爸妈做对一次,孩子进步一次",No
立竿见影的“揲法”操作(视频解惑),Yes
"减肥三个月,不及它立竿见影",Yes
高血压可以不用吃药吗?看专家怎么说!,No
"得了高血压,可以不用吃药吗?",No
"【健康】一生不得癌的方法就在这!不用吃药,简单实用",Yes
"不用手术,也能摘掉眼镜??",Yes
"“抗癌女孩”去世,年仅25岁!长期腹泻后确诊晚期",No
"抗癌之路,终点都在美国",No
【健康】大蒜、秋葵不抗癌!真正抗癌的7个方法被你忽略了,No
"【健康】受益一辈子的""防癌计划"",请认真看完!转给爸妈~",No
"防癌从饮食开始,大蒜、豆制品、西红柿是防癌高手,跟这种菜搭配让它营养翻倍!",Yes
"“防癌说明书”来了!15 条防癌法则,很多人第一条就没做到",No
"想防癌,多吃这种食物,美味又常见",Yes
"宁波阿姨为降血糖长期吃素,到医院一查,傻眼!",No
吃荔枝到底升血糖还是降血糖?不这样吃当心连医生都救不了你,No
降血压必知的8种经典中药,Yes
瑜伽可以降血压?,No
"降血脂、防肿瘤、抗衰老...这9大黑色食物胜过良药,还不备起来",Yes
"7 个降血脂的小妙招,简单有效,不再担心血脂高",Yes
"【健康】轻松清血管,一定要多吃这几道特效菜→",Yes
"这道皇帝菜,降压、清血管、养心肺",Yes
"排毒排毒排毒,我看是你思想有 “毒”",No
【健康】晚上11点肝要排毒?你被这26个谣言坑了多少年,No
互联网+果汁=排毒减肥?,No
"增强免疫力,多吃这4种食物!远离肺病抵抗病毒,快转给全家看看",Yes
吃保健品能提高免疫力吗?,No
"小雪进补,要多吃这5道菜,补虚寒提高抵抗力,健康度过秋冬季节",Yes
"我妈煲了20年的养生汤增强免疫力,少生病",Yes
维C怎样提高免疫力及其理论来源,No
"ACL术后,手术医生不会告诉你的那些事",No
医生不会告诉你春节的班如何值,No
"医生不会告诉你的真相:这 5 种""好习惯"",正在悄悄毁掉你的健康",No
"辟谣,吸烟有好处,只是专家不敢说,专家:不是不敢说,是没的说",No
《检查单丢了不用慌!很多人不知道还能免费补》,No
很多人不知道这个秘密!尽量要选择便宜的蔬菜、水果、粮食,No
有毒!千万别摘!东莞街头已大量出现!,No
3月可能出现新一波流感!这些信息赶紧转给家人,No
"这样的香蕉,再便宜也不要买!赶紧转给家人看看......",No
"后背疼痛是什么原因,看完吓一跳?",No
"血管是如何一天天堵塞的,看完吓一跳",No
“美国第一”?!真相发布!,No
揭秘!大胃王吃播视频竟是这样制作的!,No
太可怕了!你家有这种拖鞋吗?赶紧都扔了!,No
"女性吃秘鲁玛卡,竟然有这种功效,后悔才知道!",Yes
后悔才知道的糖尿病早期6大典型特征,No
"为什么用“银壶”煮水有这么多好处?后悔才知道,请认真记住!",Yes
"民间偏方:根治糖尿病的奇方,5天根治,30年不复发,百试百灵",Yes
一个小偏方根治腹胀脾胃虚弱,Yes
"靠民间秘方降血糖20年,深圳八旬老太险截肢!图解糖尿病足",No
"【民间偏方】糖尿病救星,急降血糖的秘方!吃了立刻见效!",Yes
"老中医高血压秘方,大公开",Yes
"治疗高血压,老中医自有妙计!",No
"92岁老中医治高血压偏方公开,不打针不吃药,比降压药还管用,7天血压正常,不妨试试!",Yes
【老中医】老中医治高血压的4个良方,Yes
【康爱科普堂 】食疗抗癌需辨证(一),No
【科普|生命之乳】食疗抗癌新理念,No
食用菌产品的食疗抗癌功效,Yes
科学家徐荣祥公布再生营养食疗抗癌成果,Yes
【日常食疗】——6种癌症的抗癌食疗妙方,Yes
药物和保健品能增强免疫力吗?权威专家来解答→,No
保健品能提高免疫力?癌症患者要小心了,No
论酵素排毒的重要性!是时候给你的肠道“洗澡”了!,Yes
"喝酵素,排毒养颜还减肥?",No
为什么酵素可以排毒?,Yes
酵素排毒是拉肚子吗?,Yes
帮助清理血管预防血栓的常见养生食物,Yes
"喝茶养生就喝它,清血管,促睡眠,清除体内垃圾......",Yes
养生|医生不会告诉你的养生秘诀!建议收藏,Yes
"医生不会告诉你的养生真相:省钱、省力、人人能做!不花一分钱,在家就能养出好体质,越活越年轻!",Yes
"央视报道:输液,我们该如何看待?医生不会告诉你的新的养生理论!",Yes
"医生不会告诉你:90%的人每天都在""假养生""",Yes
怎样不吃药降血压?,Yes
不吃药的降血压方法,Yes
"不吃药,降血压靠谱吗?两种情况可以不吃药",No
"不吃药降血压,你是在做梦吧?",Yes
"餐后血糖超过10,教你一招坐着降血糖",No
"糖尿病饮食用这一招,血糖降了一大半!",Yes
"光测没用!学会这一招,血压血糖稳稳下降(附记录表)",No
"百岁老奶奶透露:冰糖醋治高血压偏方,疗效好,无副作用!",Yes
治疗高血压的偏方 哪些食材有助于降血压,Yes
"治疗高血压的偏方,简单好用!",Yes
"高血压食疗,知多少",No
高血压与食疗,Yes
"降血压:5款高血压食疗食谱送给你,不要错过吆!",Yes
糖尿病验方.,Yes
最新彻底根治糖尿病的秘方,Yes
糖尿病患者饮食的“可与不可”您了解多少? | 健康之路,No
糖尿病友怎么吃?北医三院营养专家的精致饮食表(下),No
从三阴治疗糖尿病,No
"糖尿病饮食,细节决定成败",No
"糖尿病,可以逆转吗?",No
逆转糖尿病?告别降糖药?你没听错!奇迹发生了...,Yes
糖尿病可以逆转吗?我国第一个糖尿病膳食指南发布了!,No
新诊断2型糖尿病的逆转——胰岛素还是生活方式干预?| 2021北大糖尿病论坛,No
"血糖高一定会发展成糖尿病吗?——糖尿病逆转,只争朝夕",No
降血糖偏方,Yes
"这个秘方不仅急降血糖,还能降血压、防心梗",Yes
糖尿病的食疗选择 正确的食谱调节血糖,Yes
看中医诊治高血压!几个治疗高血压的验方,Yes
"高血压偏方,请为父母收藏!",Yes
"夏枯草煲猪肉,食疗降低血压",Yes
【你问我答】血压高的饮食治疗原则是什么?脑血栓吃什么水果好?......,No
"降血脂小偏方,原来这么简单!",Yes
"降血脂偏方,【祖传秘方】老和尚给我的祖传专治糖尿病秘,百试百灵,不复发",Yes
"降血脂偏方,【祖传秘方】2个简单好用的降血脂、百试百灵,血压偏方,不要错过了,特别适合家里老人",Yes
"控制血压、血糖、血脂方法多样,从日常吃饭做起来~",No
[民间偏方]血脂稠方,Yes
血脂稠的偏方,Yes
血脂降降降!食疗有方!,Yes
"血脂高怎么办?6种有效降血脂的食疗方法,食材简单见效快",Yes
9类降血脂食物!功效+原理一次讲透,No
降血脂食疗,Yes
治疗痛风三个民间小偏方,Yes
"世界上治痛风最好的药,3种中医治疗痛风偏方",Yes
痛风秘方,Yes
痛风偏方精选,Yes
更新痛风饮食治疗的新观点,No
大医生来了|高尿酸血症与痛风的饮食治疗、糖尿病的综合管理,No
食疗治痛风小偏方~真的有效!,Yes
痛风食疗偏方,Yes
痛风食疗小偏方,Yes
"【偏方】防治降尿酸奇方子,个个见功效",Yes
痛风最新防治指南及降尿酸秘方介绍,Yes
痛风(降尿酸)的偏方,Yes
高尿酸血症的食疗偏方,Yes
"总担心嘌呤吃高了?学这2道食疗,尿酸嗖嗖的降",Yes
一个治癌症的偏方,Yes
那些用偏方治疗癌症的美国人都怎样了?,No
